ID,Sex,Age,Height,Weight,BMI,Level,Fitness Goal,Fitness Type,,,,
297,Male,27,1.74,57,18.83,Normal,Weight Gain,Muscular Fitness,,,,
305,Male,27,1.74,77,25.43,Overweight,Weight Loss,Cardio Fitness,,,,
313,Male,27,1.74,92,30.39,Obuse,Weight Loss,Cardio Fitness,,,,
321,Male,28,1.75,53,17.31,Underweight,Weight Gain,Muscular Fitness,,,,
329,Male,28,1.75,58,18.94,Normal,Weight Gain,Muscular Fitness,,,,
337,Male,28,1.75,78,25.47,Overweight,Weight Loss,Cardio Fitness,,,,
345,Male,28,1.75,93,30.37,Obuse,Weight Loss,Cardio Fitness,,,,
353,Male,29,1.76,54,17.43,Underweight,Weight Gain,Muscular Fitness,,,,
361,Male,29,1.76,59,19.05,Normal,Weight Gain,Muscular Fitness,,,,
369,Male,29,1.76,79,25.5,Overweight,Weight Loss,Cardio Fitness,,,,
377,Male,29,1.76,94,30.35,Obuse,Weight Loss,Cardio Fitness,,,,
385,Male,30,1.78,55,17.36,Underweight,Weight Gain,Muscular Fitness,,,,
393,Male,30,1.78,65,20.52,Normal,Weight Gain,Muscular Fitness,,,,
401,Male,30,1.78,82,25.88,Overweight,Weight Loss,Cardio Fitness,,,,
409,Male,30,1.78,95,29.98,Obuse,Weight Loss,Cardio Fitness,,,,
417,Male,31,1.77,56,17.87,Underweight,Weight Gain,Muscular Fitness,,,,
425,Male,31,1.77,66,21.07,Normal,Weight Gain,Muscular Fitness,,,,
433,Male,31,1.77,83,26.49,Overweight,Weight Loss,Cardio Fitness,,,,
441,Male,31,1.77,96,30.64,Obuse,Weight Loss,Cardio Fitness,,,,
449,Male,32,1.79,57,17.79,Underweight,Weight Gain,Muscular Fitness,,,,
457,Male,32,1.79,67,20.91,Normal,Weight Gain,Muscular Fitness,,,,
465,Male,32,1.79,84,26.22,Overweight,Weight Loss,Cardio Fitness,,,,
473,Male,32,1.79,96,29.96,Obuse,Weight Loss,Cardio Fitness,,,,
481,Male,33,1.8,57,17.59,Underweight,Weight Gain,Muscular Fitness,,,,
489,Male,33,1.8,67,20.68,Normal,Weight Gain,Muscular Fitness,,,,
497,Male,33,1.8,84,25.93,Overweight,Weight Loss,Cardio Fitness,,,,
505,Male,33,1.8,96,29.63,Overweight,Weight Loss,Cardio Fitness,,,,
506,Male,33,1.8,98,30.25,Obuse,Weight Loss,Cardio Fitness,,,,
513,Male,34,1.81,58,17.7,Underweight,Weight Gain,Muscular Fitness,,,,
521,Male,34,1.81,68,20.76,Normal,Weight Gain,Muscular Fitness,,,,
529,Male,34,1.81,85,25.95,Overweight,Weight Loss,Cardio Fitness,,,,
538,Male,34,1.81,98,29.91,Obuse,Weight Loss,Cardio Fitness,,,,
545,Male,35,1.82,59,17.81,Underweight,Weight Gain,Muscular Fitness,,,,
553,Male,35,1.82,70,21.13,Normal,Weight Gain,Muscular Fitness,,,,
561,Male,35,1.82,88,26.57,Overweight,Weight Loss,Cardio Fitness,,,,
569,Male,35,1.82,100,30.19,Obuse,Weight Loss,Cardio Fitness,,,,
577,Male,36,1.83,59,17.62,Underweight,Weight Gain,Muscular Fitness,,,,
585,Male,36,1.83,70,20.9,Normal,Weight Gain,Muscular Fitness,,,,
593,Male,36,1.83,88,26.28,Overweight,Weight Loss,Cardio Fitness,,,,
601,Male,36,1.83,101,30.16,Obuse,Weight Loss,Cardio Fitness,,,,
609,Male,37,1.84,59,17.43,Underweight,Weight Gain,Muscular Fitness,,,,
617,Male,37,1.84,70,20.68,Normal,Weight Gain,Muscular Fitness,,,,
625,Male,37,1.84,88,25.99,Overweight,Weight Loss,Cardio Fitness,,,,
633,Male,37,1.84,103,30.42,Obuse,Weight Loss,Cardio Fitness,,,,
641,Male,38,1.64,45,16.73,Underweight,Weight Gain,Muscular Fitness,,,,
645,Female,38,1.64,45,16.73,Underweight,Weight Gain,Muscular Fitness,,,,
649,Male,38,1.64,60,22.31,Normal,Weight Gain,Muscular Fitness,,,,
653,Female,38,1.64,60,22.31,Normal,Weight Gain,Muscular Fitness,,,,
657,Male,38,1.64,72,26.77,Overweight,Weight Loss,Cardio Fitness,,,,
661,Female,38,1.64,72,26.77,Overweight,Weight Loss,Cardio Fitness,,,,
665,Male,38,1.64,81,30.12,Obuse,Weight Loss,Cardio Fitness,,,,
669,Female,38,1.64,81,30.12,Obuse,Weight Loss,Cardio Fitness,,,,
673,Male,39,1.66,48,17.42,Underweight,Weight Gain,Muscular Fitness,,,,
677,Female,39,1.66,48,17.42,Underweight,Weight Gain,Muscular Fitness,,,,
681,Male,39,1.66,63,22.86,Normal,Weight Gain,Muscular Fitness,,,,
685,Female,39,1.66,63,22.86,Normal,Weight Gain,Muscular Fitness,,,,
689,Male,39,1.66,74,26.85,Overweight,Weight Loss,Cardio Fitness,,,,
693,Female,39,1.66,74,26.85,Overweight,Weight Loss,Cardio Fitness,,,,
697,Male,39,1.66,83,30.12,Obuse,Weight Loss,Cardio Fitness,,,,
701,Female,39,1.66,83,30.12,Obuse,Weight Loss,Cardio Fitness,,,,
705,Male,40,1.68,48,17.01,Underweight,Weight Gain,Muscular Fitness,,,,
709,Female,40,1.68,48,17.01,Underweight,Weight Gain,Muscular Fitness,,,,
713,Male,40,1.68,63,22.32,Normal,Weight Gain,Muscular Fitness,,,,
717,Female,40,1.68,63,22.32,Normal,Weight Gain,Muscular Fitness,,,,
721,Male,40,1.68,74,26.22,Overweight,Weight Loss,Cardio Fitness,,,,
725,Female,40,1.68,74,26.22,Overweight,Weight Loss,Cardio Fitness,,,,
729,Male,40,1.68,85,30.12,Obuse,Weight Loss,Cardio Fitness,,,,
733,Female,40,1.68,85,30.12,Obuse,Weight Loss,Cardio Fitness,,,,
737,Male,41,1.7,48,16.61,Underweight,Weight Gain,Muscular Fitness,,,,
741,Female,41,1.7,48,16.61,Underweight,Weight Gain,Muscular Fitness,,,,
745,Male,41,1.7,63,21.8,Normal,Weight Gain,Muscular Fitness,,,,
749,Female,41,1.7,63,21.8,Normal,Weight Gain,Muscular Fitness,,,,
753,Male,41,1.7,74,25.61,Overweight,Weight Loss,Cardio Fitness,,,,
757,Female,41,1.7,74,25.61,Overweight,Weight Loss,Cardio Fitness,,,,
761,Male,41,1.7,88,30.45,Obuse,Weight Loss,Cardio Fitness,,,,
765,Female,41,1.7,88,30.45,Obuse,Weight Loss,Cardio Fitness,,,,
769,Male,42,1.64,49,18.22,Underweight,Weight Gain,Muscular Fitness,,,,
773,Female,42,1.64,49,18.22,Underweight,Weight Gain,Muscular Fitness,,,,
777,Male,42,1.64,66,24.54,Normal,Weight Gain,Muscular Fitness,,,,
781,Female,42,1.64,66,24.54,Normal,Weight Gain,Muscular Fitness,,,,
785,Male,42,1.64,76,28.26,Overweight,Weight Loss,Cardio Fitness,,,,
789,Female,42,1.64,76,28.26,Overweight,Weight Loss,Cardio Fitness,,,,
793,Male,42,1.64,81,30.12,Obuse,Weight Loss,Cardio Fitness,,,,
797,Female,42,1.64,81,30.12,Obuse,Weight Loss,Cardio Fitness,,,,
801,Male,43,1.69,50,17.51,Underweight,Weight Gain,Muscular Fitness,,,,
805,Female,43,1.69,50,17.51,Underweight,Weight Gain,Muscular Fitness,,,,
809,Male,43,1.69,67,23.46,Normal,Weight Gain,Muscular Fitness,,,,
813,Female,43,1.69,67,23.46,Normal,Weight Gain,Muscular Fitness,,,,
817,Male,43,1.69,77,26.96,Overweight,Weight Loss,Cardio Fitness,,,,
821,Female,43,1.69,77,26.96,Overweight,Weight Loss,Cardio Fitness,,,,
825,Male,43,1.69,86,30.11,Obuse,Weight Loss,Cardio Fitness,,,,
829,Female,43,1.69,86,30.11,Obuse,Weight Loss,Cardio Fitness,,,,
833,Male,44,1.68,50,17.72,Underweight,Weight Gain,Muscular Fitness,,,,
837,Female,44,1.68,50,17.72,Underweight,Weight Gain,Muscular Fitness,,,,
841,Male,44,1.68,67,23.74,Normal,Weight Gain,Muscular Fitness,,,,
845,Female,44,1.68,67,23.74,Normal,Weight Gain,Muscular Fitness,,,,
849,Male,44,1.68,77,27.28,Overweight,Weight Loss,Cardio Fitness,,,,
853,Female,44,1.68,77,27.28,Overweight,Weight Loss,Cardio Fitness,,,,
857,Male,44,1.68,86,30.47,Obuse,Weight Loss,Cardio Fitness,,,,
861,Female,44,1.68,86,30.47,Obuse,Weight Loss,Cardio Fitness,,,,
865,Male,45,1.59,45,17.8,Underweight,Weight Gain,Muscular Fitness,,,,
869,Female,45,1.59,45,17.8,Underweight,Weight Gain,Muscular Fitness,,,,
873,Male,45,1.59,53,20.96,Normal,Weight Gain,Muscular Fitness,,,,
877,Female,45,1.59,53,20.96,Normal,Weight Gain,Muscular Fitness,,,,
881,Male,45,1.59,68,26.9,Overweight,Weight Loss,Cardio Fitness,,,,
885,Female,45,1.59,68,26.9,Overweight,Weight Loss,Cardio Fitness,,,,
889,Male,45,1.59,78,30.85,Obuse,Weight Loss,Cardio Fitness,,,,
893,Female,45,1.59,78,30.85,Obuse,Weight Loss,Cardio Fitness,,,,
897,Male,46,1.63,47,17.69,Underweight,Weight Gain,Muscular Fitness,,,,
901,Female,46,1.63,47,17.69,Underweight,Weight Gain,Muscular Fitness,,,,
905,Male,46,1.63,56,21.08,Normal,Weight Gain,Muscular Fitness,,,,
909,Female,46,1.63,56,21.08,Normal,Weight Gain,Muscular Fitness,,,,
913,Male,46,1.63,69,25.97,Overweight,Weight Loss,Cardio Fitness,,,,
917,Female,46,1.63,69,25.97,Overweight,Weight Loss,Cardio Fitness,,,,
921,Male,46,1.63,89,33.5,Obuse,Weight Loss,Cardio Fitness,,,,
925,Female,46,1.63,89,33.5,Obuse,Weight Loss,Cardio Fitness,,,,
929,Male,47,1.64,47,17.47,Underweight,Weight Gain,Muscular Fitness,,,,
933,Female,47,1.64,47,17.47,Underweight,Weight Gain,Muscular Fitness,,,,
937,Male,47,1.64,56,20.82,Normal,Weight Gain,Muscular Fitness,,,,
941,Female,47,1.64,56,20.82,Normal,Weight Gain,Muscular Fitness,,,,
945,Male,47,1.64,69,25.65,Overweight,Weight Loss,Cardio Fitness,,,,
949,Female,47,1.64,69,25.65,Overweight,Weight Loss,Cardio Fitness,,,,
953,Male,47,1.64,89,33.09,Obuse,Weight Loss,Cardio Fitness,,,,
957,Female,47,1.64,89,33.09,Obuse,Weight Loss,Cardio Fitness,,,,
961,Male,48,1.67,49,17.57,Underweight,Weight Gain,Muscular Fitness,,,,
965,Female,48,1.67,49,17.57,Underweight,Weight Gain,Muscular Fitness,,,,
969,Male,48,1.67,58,20.8,Normal,Weight Gain,Muscular Fitness,,,,
973,Female,48,1.67,58,20.8,Normal,Weight Gain,Muscular Fitness,,,,
977,Male,48,1.67,72,25.82,Overweight,Weight Loss,Cardio Fitness,,,,
981,Female,48,1.67,72,25.82,Overweight,Weight Loss,Cardio Fitness,,,,
985,Male,48,1.67,85,30.48,Obuse,Weight Loss,Cardio Fitness,,,,
989,Female,48,1.67,85,30.48,Obuse,Weight Loss,Cardio Fitness,,,,
993,Male,49,1.68,46,16.3,Underweight,Weight Gain,Muscular Fitness,,,,
997,Female,49,1.68,46,16.3,Underweight,Weight Gain,Muscular Fitness,,,,
1001,Male,49,1.68,60,21.26,Normal,Weight Gain,Muscular Fitness,,,,
1005,Female,49,1.68,60,21.26,Normal,Weight Gain,Muscular Fitness,,,,
1009,Male,49,1.68,76,26.93,Overweight,Weight Loss,Cardio Fitness,,,,
1013,Female,49,1.68,76,26.93,Overweight,Weight Loss,Cardio Fitness,,,,
1017,Male,49,1.68,88,31.18,Obuse,Weight Loss,Cardio Fitness,,,,
1021,Female,49,1.68,88,31.18,Obuse,Weight Loss,Cardio Fitness,,,,
1025,Male,50,1.77,55,17.56,Underweight,Weight Gain,Muscular Fitness,,,,
1029,Female,50,1.77,55,17.56,Underweight,Weight Gain,Muscular Fitness,,,,
1033,Male,50,1.77,58,18.51,Normal,Weight Gain,Muscular Fitness,,,,
1037,Female,50,1.77,58,18.51,Normal,Weight Gain,Muscular Fitness,,,,
1041,Male,50,1.77,82,26.17,Overweight,Weight Loss,Cardio Fitness,,,,
1045,Female,50,1.77,82,26.17,Overweight,Weight Loss,Cardio Fitness,,,,
1049,Male,50,1.77,96,30.64,Obuse,Weight Loss,Cardio Fitness,,,,
1053,Female,50,1.77,96,30.64,Obuse,Weight Loss,Cardio Fitness,,,,
1057,Male,51,1.57,44,17.85,Underweight,Weight Gain,Muscular Fitness,,,,
1061,Female,51,1.57,44,17.85,Underweight,Weight Gain,Muscular Fitness,,,,
1065,Male,51,1.57,56,22.72,Normal,Weight Gain,Muscular Fitness,,,,
1069,Female,51,1.57,56,22.72,Normal,Weight Gain,Muscular Fitness,,,,
1073,Male,51,1.57,67,27.18,Overweight,Weight Loss,Cardio Fitness,,,,
1077,Female,51,1.57,67,27.18,Overweight,Weight Loss,Cardio Fitness,,,,
1081,Male,51,1.57,76,30.83,Obuse,Weight Loss,Cardio Fitness,,,,
1085,Female,51,1.57,76,30.83,Obuse,Weight Loss,Cardio Fitness,,,,
1089,Male,52,1.66,44,15.97,Underweight,Weight Gain,Muscular Fitness,,,,
1093,Female,52,1.66,44,15.97,Underweight,Weight Gain,Muscular Fitness,,,,
1097,Male,52,1.66,56,20.32,Normal,Weight Gain,Muscular Fitness,,,,
1101,Female,52,1.66,56,20.32,Normal,Weight Gain,Muscular Fitness,,,,
1105,Male,52,1.66,73,26.49,Overweight,Weight Loss,Cardio Fitness,,,,
1109,Female,52,1.66,73,26.49,Overweight,Weight Loss,Cardio Fitness,,,,
1113,Male,52,1.66,87,31.57,Obuse,Weight Loss,Cardio Fitness,,,,
1117,Female,52,1.66,87,31.57,Obuse,Weight Loss,Cardio Fitness,,,,
1121,Male,53,1.88,62,17.54,Underweight,Weight Gain,Muscular Fitness,,,,
1125,Female,53,1.88,62,17.54,Underweight,Weight Gain,Muscular Fitness,,,,
1129,Male,53,1.88,70,19.81,Normal,Weight Gain,Muscular Fitness,,,,
1133,Female,53,1.88,70,19.81,Normal,Weight Gain,Muscular Fitness,,,,
1137,Male,53,1.88,90,25.46,Overweight,Weight Loss,Cardio Fitness,,,,
1141,Female,53,1.88,90,25.46,Overweight,Weight Loss,Cardio Fitness,,,,
1145,Male,53,1.88,120,33.95,Obuse,Weight Loss,Cardio Fitness,,,,
1149,Female,53,1.88,120,33.95,Obuse,Weight Loss,Cardio Fitness,,,,
1153,Male,54,1.61,45,17.36,Underweight,Weight Gain,Muscular Fitness,,,,
1157,Female,54,1.61,45,17.36,Underweight,Weight Gain,Muscular Fitness,,,,
1161,Male,54,1.61,54,20.83,Normal,Weight Gain,Muscular Fitness,,,,
1165,Female,54,1.61,54,20.83,Normal,Weight Gain,Muscular Fitness,,,,
1169,Male,54,1.61,65,25.08,Overweight,Weight Loss,Cardio Fitness,,,,
1173,Female,54,1.61,65,25.08,Overweight,Weight Loss,Cardio Fitness,,,,
1177,Male,54,1.61,81,31.25,Obuse,Weight Loss,Cardio Fitness,,,,
1181,Female,54,1.61,81,31.25,Obuse,Weight Loss,Cardio Fitness,,,,
1185,Male,55,1.67,45,16.14,Underweight,Weight Gain,Muscular Fitness,,,,
1189,Female,55,1.67,45,16.14,Underweight,Weight Gain,Muscular Fitness,,,,
1193,Male,55,1.67,54,19.36,Normal,Weight Gain,Muscular Fitness,,,,
1197,Female,55,1.67,54,19.36,Normal,Weight Gain,Muscular Fitness,,,,
1201,Male,55,1.67,76,27.25,Overweight,Weight Loss,Cardio Fitness,,,,
1205,Female,55,1.67,76,27.25,Overweight,Weight Loss,Cardio Fitness,,,,
1209,Male,55,1.67,91,32.63,Obuse,Weight Loss,Cardio Fitness,,,,
1213,Female,55,1.67,91,32.63,Obuse,Weight Loss,Cardio Fitness,,,,
1217,Male,56,1.67,45,16.14,Underweight,Weight Gain,Muscular Fitness,,,,
1221,Female,56,1.67,45,16.14,Underweight,Weight Gain,Muscular Fitness,,,,
1225,Male,56,1.67,54,19.36,Normal,Weight Gain,Muscular Fitness,,,,
1229,Female,56,1.67,54,19.36,Normal,Weight Gain,Muscular Fitness,,,,
1233,Male,56,1.67,76,27.25,Overweight,Weight Loss,Cardio Fitness,,,,
1237,Female,56,1.67,76,27.25,Overweight,Weight Loss,Cardio Fitness,,,,
1241,Male,56,1.67,91,32.63,Obuse,Weight Loss,Cardio Fitness,,,,
1245,Female,56,1.67,91,32.63,Obuse,Weight Loss,Cardio Fitness,,,,
1249,Male,57,1.69,51,17.86,Underweight,Weight Gain,Muscular Fitness,,,,
1253,Female,57,1.69,51,17.86,Underweight,Weight Gain,Muscular Fitness,,,,
1257,Male,57,1.69,64,22.41,Normal,Weight Gain,Muscular Fitness,,,,
1261,Female,57,1.69,64,22.41,Normal,Weight Gain,Muscular Fitness,,,,
1265,Male,57,1.69,78,27.31,Overweight,Weight Loss,Cardio Fitness,,,,
1269,Female,57,1.69,78,27.31,Overweight,Weight Loss,Cardio Fitness,,,,
1273,Male,57,1.69,87,30.46,Obuse,Weight Loss,Cardio Fitness,,,,
1277,Female,57,1.69,87,30.46,Obuse,Weight Loss,Cardio Fitness,,,,
1281,Male,58,1.52,41,17.75,Underweight,Weight Gain,Muscular Fitness,,,,
1285,Female,58,1.52,41,17.75,Underweight,Weight Gain,Muscular Fitness,,,,
1289,Male,58,1.52,56,24.24,Normal,Weight Gain,Muscular Fitness,,,,
1293,Female,58,1.52,56,24.24,Normal,Weight Gain,Muscular Fitness,,,,
1297,Male,58,1.52,64,27.7,Overweight,Weight Loss,Cardio Fitness,,,,
1301,Female,58,1.52,64,27.7,Overweight,Weight Loss,Cardio Fitness,,,,
1305,Male,58,1.52,79,34.19,Obuse,Weight Loss,Cardio Fitness,,,,
1309,Female,58,1.52,79,34.19,Obuse,Weight Loss,Cardio Fitness,,,,
1313,Male,59,1.56,43,17.67,Underweight,Weight Gain,Muscular Fitness,,,,
1317,Female,59,1.56,43,17.67,Underweight,Weight Gain,Muscular Fitness,,,,
1321,Male,59,1.56,53,21.78,Normal,Weight Gain,Muscular Fitness,,,,
1325,Female,59,1.56,53,21.78,Normal,Weight Gain,Muscular Fitness,,,,
1329,Male,59,1.56,61,25.07,Overweight,Weight Loss,Cardio Fitness,,,,
1333,Female,59,1.56,61,25.07,Overweight,Weight Loss,Cardio Fitness,,,,
1337,Male,59,1.56,74,30.41,Obuse,Weight Loss,Cardio Fitness,,,,
1341,Female,59,1.56,74,30.41,Obuse,Weight Loss,Cardio Fitness,,,,
1345,Male,60,1.51,39,17.1,Underweight,Weight Gain,Muscular Fitness,,,,
1349,Female,60,1.51,39,17.1,Underweight,Weight Gain,Muscular Fitness,,,,
1353,Male,60,1.51,49,21.49,Normal,Weight Gain,Muscular Fitness,,,,
1357,Female,60,1.51,49,21.49,Normal,Weight Gain,Muscular Fitness,,,,
1361,Male,60,1.51,66,28.95,Overweight,Weight Loss,Cardio Fitness,,,,
1365,Female,60,1.51,66,28.95,Overweight,Weight Loss,Cardio Fitness,,,,
1369,Male,60,1.51,77,33.77,Obuse,Weight Loss,Cardio Fitness,,,,
1373,Female,60,1.51,77,33.77,Obuse,Weight Loss,Cardio Fitness,,,,
1377,Male,61,1.68,51,18.07,Underweight,Weight Gain,Muscular Fitness,,,,
1381,Female,61,1.68,51,18.07,Underweight,Weight Gain,Muscular Fitness,,,,
1385,Male,61,1.68,57,20.2,Normal,Weight Gain,Muscular Fitness,,,,
1389,Female,61,1.68,57,20.2,Normal,Weight Gain,Muscular Fitness,,,,
1393,Male,61,1.68,73,25.86,Overweight,Weight Loss,Cardio Fitness,,,,
1397,Female,61,1.68,73,25.86,Overweight,Weight Loss,Cardio Fitness,,,,
1401,Male,61,1.68,86,30.47,Obuse,Weight Loss,Cardio Fitness,,,,
1405,Female,61,1.68,86,30.47,Obuse,Weight Loss,Cardio Fitness,,,,
1409,Male,62,1.65,44,16.16,Underweight,Weight Gain,Muscular Fitness,,,,
1413,Female,62,1.65,44,16.16,Underweight,Weight Gain,Muscular Fitness,,,,
1417,Male,62,1.65,57,20.94,Normal,Weight Gain,Muscular Fitness,,,,
1421,Female,62,1.65,57,20.94,Normal,Weight Gain,Muscular Fitness,,,,
1425,Male,62,1.65,73,26.81,Overweight,Weight Loss,Cardio Fitness,,,,
1429,Female,62,1.65,73,26.81,Overweight,Weight Loss,Cardio Fitness,,,,
1433,Male,62,1.65,86,31.59,Obuse,Weight Loss,Cardio Fitness,,,,
1437,Female,62,1.65,86,31.59,Obuse,Weight Loss,Cardio Fitness,,,,
1441,Male,63,1.67,47,16.85,Underweight,Weight Gain,Muscular Fitness,,,,
1445,Female,63,1.67,47,16.85,Underweight,Weight Gain,Muscular Fitness,,,,
1449,Male,63,1.67,56,20.08,Normal,Weight Gain,Muscular Fitness,,,,
1453,Female,63,1.67,56,20.08,Normal,Weight Gain,Muscular Fitness,,,,
1457,Male,63,1.67,70,25.1,Overweight,Weight Loss,Cardio Fitness,,,,
1461,Female,63,1.67,70,25.1,Overweight,Weight Loss,Cardio Fitness,,,,
1465,Male,63,1.67,86,30.84,Obuse,Weight Loss,Cardio Fitness,,,,
1469,Female,63,1.67,86,30.84,Obuse,Weight Loss,Cardio Fitness,,,,
1473,Male,18,1.68,42.5,15.06,Underweight,Weight Gain,Muscular Fitness,,,,
1477,Female,18,1.68,42.5,15.06,Underweight,Weight Gain,Muscular Fitness,,,,
1481,Male,18,1.68,68,24.09,Normal,Weight Gain,Muscular Fitness,,,,
1485,Female,18,1.68,68,24.09,Normal,Weight Gain,Muscular Fitness,,,,
1489,Male,18,1.68,76,26.93,Overweight,Weight Loss,Cardio Fitness,,,,
1493,Female,18,1.68,76,26.93,Overweight,Weight Loss,Cardio Fitness,,,,
1497,Male,18,1.68,87,30.82,Obuse,Weight Loss,Cardio Fitness,,,,
1501,Female,18,1.68,87,30.82,Obuse,Weight Loss,Cardio Fitness,,,,
1505,Male,24,1.67,47.5,17.03,Underweight,Weight Gain,Muscular Fitness,,,,
1509,Female,24,1.67,47.5,17.03,Underweight,Weight Gain,Muscular Fitness,,,,
1513,Male,24,1.67,55,19.72,Normal,Weight Gain,Muscular Fitness,,,,
1517,Female,24,1.67,55,19.72,Normal,Weight Gain,Muscular Fitness,,,,
1521,Male,24,1.67,72,25.82,Overweight,Weight Loss,Cardio Fitness,,,,
1525,Female,24,1.67,72,25.82,Overweight,Weight Loss,Cardio Fitness,,,,
1529,Male,24,1.67,85,30.48,Obuse,Weight Loss,Cardio Fitness,,,,
1533,Female,24,1.67,85,30.48,Obuse,Weight Loss,Cardio Fitness,,,,
1537,Male,25,1.69,47.5,16.63,Underweight,Weight Gain,Muscular Fitness,,,,
1541,Female,25,1.69,47.5,16.63,Underweight,Weight Gain,Muscular Fitness,,,,
1545,Male,25,1.69,55,19.26,Normal,Weight Gain,Muscular Fitness,,,,
1549,Female,25,1.69,55,19.26,Normal,Weight Gain,Muscular Fitness,,,,
1553,Male,25,1.69,72,25.21,Overweight,Weight Loss,Cardio Fitness,,,,
1557,Female,25,1.69,72,25.21,Overweight,Weight Loss,Cardio Fitness,,,,
1561,Male,25,1.69,95,33.26,Obuse,Weight Loss,Cardio Fitness,,,,
1565,Female,25,1.69,95,33.26,Obuse,Weight Loss,Cardio Fitness,,,,
1569,Male,26,1.65,47.5,17.45,Underweight,Weight Gain,Muscular Fitness,,,,
1573,Female,26,1.65,47.5,17.45,Underweight,Weight Gain,Muscular Fitness,,,,
1577,Male,26,1.65,55,20.2,Normal,Weight Gain,Muscular Fitness,,,,
1581,Female,26,1.65,55,20.2,Normal,Weight Gain,Muscular Fitness,,,,
1585,Male,26,1.65,72,26.45,Overweight,Weight Loss,Cardio Fitness,,,,
1589,Female,26,1.65,72,26.45,Overweight,Weight Loss,Cardio Fitness,,,,
1593,Male,26,1.65,95,34.89,Obuse,Weight Loss,Cardio Fitness,,,,
1597,Female,26,1.65,95,34.89,Obuse,Weight Loss,Cardio Fitness,,,,
1601,Female,27,1.55,95,39.54,Obuse,Weight Loss,Cardio Fitness,,,,
1602,Male,27,1.65,47.5,17.45,Underweight,Weight Gain,Muscular Fitness,,,,
1606,Female,27,1.65,47.5,17.45,Underweight,Weight Gain,Muscular Fitness,,,,
1610,Male,27,1.65,55,20.2,Normal,Weight Gain,Muscular Fitness,,,,
1614,Female,27,1.65,55,20.2,Normal,Weight Gain,Muscular Fitness,,,,
1618,Male,27,1.65,72,26.45,Overweight,Weight Loss,Cardio Fitness,,,,
